Date,uk10_yield
24-Nov-11,2.2336
25-Nov-11,2.3571
28-Nov-11,2.3075
29-Nov-11,2.2789
30-Nov-11,2.3467
1-Dec-11,2.32
2-Dec-11,2.3483
5-Dec-11,2.3867
6-Dec-11,2.2671
7-Dec-11,2.2707
8-Dec-11,2.1739
9-Dec-11,2.2146
12-Dec-11,2.1553
13-Dec-11,2.1792
14-Dec-11,2.1559
15-Dec-11,2.1825
16-Dec-11,2.1188
19-Dec-11,2.1454
20-Dec-11,2.1673
21-Dec-11,2.117
22-Dec-11,2.1229
23-Dec-11,2.1245
28-Dec-11,2.1011
29-Dec-11,2.0446
30-Dec-11,2.0604
3-Jan-12,2.1054
4-Jan-12,2.1176
5-Jan-12,2.1211
6-Jan-12,2.0935
9-Jan-12,2.0632
10-Jan-12,2.1249
11-Jan-12,2.069
12-Jan-12,2.0848
13-Jan-12,2.0385
16-Jan-12,2.0389
17-Jan-12,2.0315
18-Jan-12,2.0241
19-Jan-12,2.1209
20-Jan-12,2.1711
23-Jan-12,2.2357
24-Jan-12,2.2441
25-Jan-12,2.2234
26-Jan-12,2.163
27-Jan-12,2.136
30-Jan-12,2.0677
31-Jan-12,2.043
1-Feb-12,2.1119
2-Feb-12,2.17
3-Feb-12,2.2517
6-Feb-12,2.24
7-Feb-12,2.2936
8-Feb-12,2.274
9-Feb-12,2.3183
10-Feb-12,2.2194
13-Feb-12,2.2148
14-Feb-12,2.1807
15-Feb-12,2.1648
16-Feb-12,2.2107
17-Feb-12,2.2745
20-Feb-12,2.322
21-Feb-12,2.2989
22-Feb-12,2.2267
23-Feb-12,2.1913
24-Feb-12,2.166
27-Feb-12,2.1416
28-Feb-12,2.1351
29-Feb-12,2.1951
1-Mar-12,2.276
2-Mar-12,2.199
5-Mar-12,2.2312
6-Mar-12,2.192
7-Mar-12,2.2073
8-Mar-12,2.2137
9-Mar-12,2.2234
12-Mar-12,2.1655
13-Mar-12,2.2397
14-Mar-12,2.3999
15-Mar-12,2.45
16-Mar-12,2.5236
19-Mar-12,2.4946
20-Mar-12,2.5029
21-Mar-12,2.4469
22-Mar-12,2.3999
23-Mar-12,2.3619
26-Mar-12,2.402
27-Mar-12,2.3315
28-Mar-12,2.2898
29-Mar-12,2.2757
30-Mar-12,2.2792
2-Apr-12,2.3002
3-Apr-12,2.2623
4-Apr-12,2.3018
5-Apr-12,2.2548
10-Apr-12,2.0998
11-Apr-12,2.1414
12-Apr-12,2.181
13-Apr-12,2.1236
16-Apr-12,2.1269
17-Apr-12,2.1883
18-Apr-12,2.2224
19-Apr-12,2.2505
20-Apr-12,2.2661
23-Apr-12,2.217
24-Apr-12,2.2113
25-Apr-12,2.2324
26-Apr-12,2.202
27-Apr-12,2.2248
30-Apr-12,2.2154
1-May-12,2.17
2-May-12,2.1175
3-May-12,2.1115
4-May-12,2.0748
8-May-12,1.9945
9-May-12,1.9724
10-May-12,2.0473
11-May-12,2.0338
14-May-12,1.953
15-May-12,1.9615
16-May-12,1.9461
17-May-12,1.9255
18-May-12,1.9044
21-May-12,1.9189
22-May-12,1.9491
23-May-12,1.8554
24-May-12,1.8579
25-May-12,1.8408
28-May-12,1.8395
29-May-12,1.8606
30-May-12,1.7295
31-May-12,1.6511
1-Jun-12,1.6064
6-Jun-12,1.7224
7-Jun-12,1.7907
8-Jun-12,1.7082
11-Jun-12,1.7191
12-Jun-12,1.7797
13-Jun-12,1.8464
14-Jun-12,1.8215
15-Jun-12,1.7764
18-Jun-12,1.7626
19-Jun-12,1.8207
20-Jun-12,1.8394
21-Jun-12,1.774
22-Jun-12,1.8054
25-Jun-12,1.7613
26-Jun-12,1.7727
27-Jun-12,1.7701
28-Jun-12,1.7273
29-Jun-12,1.8224
2-Jul-12,1.7826
3-Jul-12,1.8376
4-Jul-12,1.8142
5-Jul-12,1.7586
6-Jul-12,1.7066
9-Jul-12,1.6826
10-Jul-12,1.6849
11-Jul-12,1.659
12-Jul-12,1.63
13-Jul-12,1.6501
16-Jul-12,1.6059
17-Jul-12,1.6017
18-Jul-12,1.5763
19-Jul-12,1.6219
20-Jul-12,1.5842
23-Jul-12,1.5756
24-Jul-12,1.5687
25-Jul-12,1.5605
26-Jul-12,1.584
27-Jul-12,1.6421
30-Jul-12,1.6481
31-Jul-12,1.575
1-Aug-12,1.6183
2-Aug-12,1.5511
3-Aug-12,1.6513
6-Aug-12,1.6039
7-Aug-12,1.6846
8-Aug-12,1.6732
9-Aug-12,1.7119
10-Aug-12,1.6408
13-Aug-12,1.6642
14-Aug-12,1.6994
15-Aug-12,1.7753
16-Aug-12,1.78
17-Aug-12,1.7649
20-Aug-12,1.7548
21-Aug-12,1.8051
22-Aug-12,1.7296
23-Aug-12,1.676
24-Aug-12,1.6352
28-Aug-12,1.6038
29-Aug-12,1.6217
30-Aug-12,1.571
31-Aug-12,1.6
3-Sep-12,1.6143
4-Sep-12,1.5905
5-Sep-12,1.602
6-Sep-12,1.668
7-Sep-12,1.6443
10-Sep-12,1.689
11-Sep-12,1.6875
12-Sep-12,1.7855
13-Sep-12,1.7588
14-Sep-12,1.9042
17-Sep-12,1.8719
18-Sep-12,1.8302
19-Sep-12,1.7797
20-Sep-12,1.7367
21-Sep-12,1.7865
24-Sep-12,1.764
25-Sep-12,1.7713
26-Sep-12,1.6287
27-Sep-12,1.668
28-Sep-12,1.6637
1-Oct-12,1.6986
2-Oct-12,1.6776
3-Oct-12,1.6482
4-Oct-12,1.6603
5-Oct-12,1.7283
8-Oct-12,1.687
9-Oct-12,1.6868
10-Oct-12,1.7315
11-Oct-12,1.7436
12-Oct-12,1.6929
15-Oct-12,1.7164
16-Oct-12,1.7853
17-Oct-12,1.8839
18-Oct-12,1.8829
19-Oct-12,1.8648
22-Oct-12,1.8823
23-Oct-12,1.8078
24-Oct-12,1.829
25-Oct-12,1.8971
26-Oct-12,1.8445
29-Oct-12,1.7756
30-Oct-12,1.8031
31-Oct-12,1.8304
1-Nov-12,1.8482
2-Nov-12,1.8382
5-Nov-12,1.7989
6-Nov-12,1.7926
7-Nov-12,1.7367
8-Nov-12,1.7473
9-Nov-12,1.7107
12-Nov-12,1.7011
13-Nov-12,1.6961
14-Nov-12,1.7385
15-Nov-12,1.7272
16-Nov-12,1.7162
